minC,minC
ffh,ftsY
yfbW,sgrS
yeiW,sgrS
ecnA,sgrS
slt,sgrS
yjjA,sgrS
yjiZ,sgrS
yjiY,sgrS
yjiO,sgrS
yjiJ,sgrS
yjhA,sgrS
yjhF,sgrS
fecC,sgrS
fecE,sgrS
yjhB,sgrS
yjgJ,sgrS
ytfN,sgrS
ytfM,sgrS
ytfF,sgrS
yjfM,sgrS
yjeP,sgrS
yjeM,sgrS
frdA,sgrS
frdB,sgrS
frdC,sgrS
frdD,sgrS
sugE,sgrS
yjdL,sgrS
yjcR,sgrS
yjcP,sgrS
yjcH,sgrS
yjcE,sgrS
yjcD,sgrS
alr,sgrS
yjaH,sgrS
cdh,sgrS
ompL,sgrS
yihA,sgrS
fadA,sgrS
tatB,sgrS
pldB,sgrS
pldA,sgrS
xerC,sgrS
hemY,sgrS
wzxE,sgrS
rffA,sgrS
rffC,sgrS
rffD,sgrS
rfe,sgrS
glmU,sgrS
glmS,sgrS
bglH,sgrS
yieG,sgrS
yidE,sgrS
yicO,sgrS
spoT,sgrS
ttk,sgrS
rfaQ,sgrS
rfaG,sgrS
rfaS,sgrS
rfaB,sgrS
rfaI,sgrS
rfaJ,sgrS
rfaY,sgrS
rfaC,sgrS
yibD,sgrS
secB,sgrS
yibH,sgrS
yhjX,sgrS
dppA,sgrS
dppD,sgrS
yhjR,sgrS
yhjE,sgrS
mdtF,sgrS
yhhH,sgrS
dcrB,sgrS
ugpB,sgrS
ugpE,sgrS
ggt,sgrS
yhgN,sgrS
glgB,sgrS
glgC,sgrS
yhgE,sgrS
damX,sgrS
chiA,sgrS
gspA,sgrS
rplW,sgrS
panF,sgrS
mreD,sgrS
aaeB,sgrS
yhcB,sgrS
nanA,sgrS
nanE,sgrS
nanK,sgrS
yhcD,sgrS
arcB,sgrS
mtgA,sgrS
yrbK,sgrS
kdsC,sgrS
kdsD,sgrS
dacB,sgrS
yhbT,sgrS
yraP,sgrS
agaS,sgrS
sohA,sgrS
rfaE,sgrS
tolC,sgrS
yqhH,sgrS
exbB,sgrS
pppA,sgrS
ansB,sgrS
mscS,sgrS
ubiH,sgrS
ygeD,sgrS
ispD,sgrS
rpoS,sgrS
ygbN,sgrS
mltB,sgrS
ypjA,sgrS
yfiB,sgrS
lepA,sgrS
iscS,sgrS
yfhM,sgrS
pbpC,sgrS
yfgL,sgrS
yfgH,sgrS
nlpB,sgrS
acrD,sgrS
amiA,sgrS
zipA,sgrS
yfeH,sgrS
yfeO,sgrS
yfdV,sgrS
emrK,sgrS
yfdH,sgrS
yfcY,sgrS
yfcJ,sgrS
yfcC,sgrS
ackA,sgrS
yfbH,sgrS
yfbG,sgrS
yfbF,sgrS
yfaV,sgrS
glpQ,sgrS
yfaL,sgrS
ompC,sgrS
yojI,sgrS
ccmE,sgrS
bcr,sgrS
yeiR,sgrS
yeiM,sgrS
cirA,sgrS
yeiB,sgrS
yehB,sgrS
mdtC,sgrS
yegE,sgrS
asmA,sgrS
wzc,sgrS
wcaA,sgrS
wcaE,sgrS
wcaF,sgrS
fcl,sgrS
nudD,sgrS
cpsB,sgrS
wzxC,sgrS
wcaK,sgrS
galF,sgrS
rfbD,sgrS
rfbC,sgrS
wbbI,sgrS
wbbK,sgrS
ugd,sgrS
dacD,sgrS
yeeO,sgrS
yedE,sgrS
