"ID" "Species" "Size" "Synonyms" "Symbols" "Descriptions"
"2996" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0001; b0002; b0003; b0004" "thrL; thrA; thrB; thrC" "thr operon leader peptide; fused aspartokinase I and homoserine dehydrogenase I; homoserine kinase; threonine synthase"
"2997" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0006; b0007" "yaaA; yaaJ" "Peroxide resistance protein, lowers intracellular iron; predicted transporter"
"2998" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0008; b0009" "talB; mog" "transaldolase B; molybdochelatase incorporating molybdenum into molybdopterin"
"2999" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0011; b0013" "yaaW; yaaI" "conserved protein, UPF0174 family; conserved protein, UPF0412 family"
"3000" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0014; b0015" "dnaK; dnaJ" "chaperone Hsp70, co-chaperone with DnaJ; chaperone Hsp40, co-chaperone with DnaK"
"3001" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0018; b4412" "mokC; hokC" "regulatory protein for HokC, overlaps CDS of hokC; toxic membrane protein, small"
"3002" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0019; b0020" "nhaA; nhaR" "sodium-proton antiporter; DNA-binding transcriptional activator"
"3003" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0021; b0022" "insB; insA" "IS1 transposase B; IS1 repressor TnpA"
"3004" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0024; b0025; b0026; b0027" "yaaY; ribF; ileS; lspA" "predicted protein; bifunctional riboflavin kinase/FAD synthetase; isoleucyl-tRNA synthetase; prolipoprotein signal peptidase (signal peptidase II)"
"3005" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0028; b0029; b0030" "fkpB; ispH; rihC" "FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase); 4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein; ribonucleoside hydrolase 3"
"3006" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0032; b0033" "carA; carB" "carbamoyl phosphate synthetase small subunit, glutamine amidotransferase; carbamoyl-phosphate synthase large subunit"
"3007" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0035; b0036" "caiE; caiD" "stimulator of CaiD and CaiB enzyme activities; carnitinyl-CoA dehydratase"
"3008" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0037; b0038" "caiC; caiB" "probable crotonobetaine/carnitine-CoA ligase; crotonobetainyl CoA:carnitine CoA transferase"
"3009" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0039; b0040" "caiA; caiT" "crotonobetaine reductase subunit II, FAD-binding; predicted transporter"
"3010" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0041; b0042; b0043; b0044; b0045" "fixA; fixB; fixC; fixX; yaaU" "predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction; predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein; predicted oxidoreductase with FAD/NAD(P)-binding domain; predicted 4Fe-4S ferredoxin-type protein; predicted transporter"
"3011" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0046; b0047" "kefF; kefC" "potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent; potassium:proton antiporter"
"3012" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b0049; b0050; b0051; b0052; b0053; b0054" "apaH; apaG; rsmA; pdxA; surA; lptD" "diadenosine tetraphosphatase; protein associated with Co2+ and Mg2+ efflux; 16S rRNA dimethyladenosine transferase, SAM-dependent; 4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent; peptidyl-prolyl cis-trans isomerase (PPIase); LPS assembly OM complex LptDE, beta-barrel component"
"3013" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0058; b0059" "rluA; rapA" "pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32); RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)"
"3014" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0062; b0063" "araA; araB" "L-arabinose isomerase; L-ribulokinase"
"3015" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0064; b0065" "araC; yabI" "DNA-binding transcriptional dual regulator; inner membrane protein, SNARE_assoc family"
"3016" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0066; b0067; b0068" "thiQ; thiP; thiB" "thiamin transporter subunit; fused thiamin transporter subunits of ABC superfamily: membrane components; thiamin transporter subunit"
"3017" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0071; b0072; b0073; b0074" "leuD; leuC; leuB; leuA" "3-isopropylmalate dehydratase small subunit; 3-isopropylmalate dehydratase large subunit; 3-isopropylmalate dehydrogenase, NAD(+)-dependent; 2-isopropylmalate synthase"
"3018" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0077; b0078" "ilvI; ilvH" "acetolactate synthase III, large subunit; acetolactate synthase III, thiamin-dependent, small subunit"
"3019" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 16 "b0081; b0082; b0083; b0084; b0085; b0086; b0087; b0088; b0089; b0090; b0091; b0092; b0093; b0094; b0095; b0096" "mraZ; rsmH; ftsL; ftsI; murE; murF; mraY; murD; ftsW; murG; murC; ddlB; ftsQ; ftsA; ftsZ; lpxC" "RsmH methytransferase inhibitor; 16S rRNA m(4)C1402 methyltranserfase, SAM-dependent; membrane bound cell division protein at septum containing leucine zipper motif; transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3); UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase; UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase; phospho-N-acetylmuramoyl-pentapeptide transferase; UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase; Lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division; N-acetylglucosaminyl transferase; UDP-N-acetylmuramate:L-alanine ligase; D-alanine:D-alanine ligase; Divisome assembly protein, membrane anchored protein involved in growth of wall at septum; ATP-binding cell division protein involved in recruitment of FtsK to Z ring; GTP-binding tubulin-like cell division protein; UDP-3-O-acyl N-acetylglucosamine deacetylase"
"3020" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0097; b0098" "secM; secA" "regulator of secA translation; preprotein translocase subunit, ATPase"
"3021" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0101; b0102; b0103" "yacG; yacF; coaE" "DNA gyrase inhibitor; conserved protein; dephospho-CoA kinase"
"3022" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0106; b0107; b0108" "hofC; hofB; ppdD" "assembly protein in type IV pilin biogenesis, transmembrane protein; conserved protein with nucleoside triphosphate hydrolase domain; predicted major pilin subunit"
"3023" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0110; b0111" "ampD; ampE" "1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase; predicted inner membrane protein"
"3024" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0114; b0115" "aceE; aceF" "pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding; pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"
"3025" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0120; b0121" "speD; speE" "S-adenosylmethionine decarboxylase; spermidine synthase (putrescine aminopropyltransferase)"
