I#ID	Name
G1	YHR084W
G2	YER109C
G3	YDR496C
G4	YBR098W
G5	YNL139C
G6	YDR303C
G7	YGR063C
G8	YER051W
G9	YBR150C
G10	YIL128W
G11	YGL071W
G12	YLR223C
G13	YPL048W
G14	YPR065W
G15	YKL043W
G16	YPR031W
G17	YER169W
G18	YCR096C
G19	YIR018W
G20	YJR147W
G21	YER045C
G22	YDR043C
G23	YJL176C
G24	YMR168C
G25	YGL181W
G26	YBR089C-A
G27	YHR090C
G28	YMR075W
G29	YBR182C
G30	YIL122W
G31	YDR009W
G32	YML113W
G33	YLR278C
G34	YDR123C
G35	YPR054W
G36	YML102W
G37	YPR013C
G38	YCL066W
G39	YHL009C
G40	YGL043W
G41	YBR049C
G42	YDL042C
G43	YPL016W
G44	YLL054C
G45	YMR016C
G46	YDR073W
G47	YNL167C
G48	YBR066C
G49	YML010W
G50	YOR344C
G51	YDR392W
G52	YMR136W
G53	YPR009W
G54	YMR164C
G55	YJL168C
G56	YJL127C
G57	YLR375W
G58	YLR013W
G59	YDR477W
G60	YHL027W
G61	YLR131C
G62	YGL237C
G63	YIR017C
G64	YFL052W
G65	YIL036W
G66	YDR451C
G67	YCR066W
G68	YKL062W
G69	YPR196W
G70	YIR023W
G71	YNL068C
G72	YPR018W
G73	YBR267W
G74	YLR453C
G75	YDR432W
G76	YJR060W
G77	YOR038C
G78	YOR298C-A
G79	YLR055C
G80	YOR290C
G81	YNR054C
G82	YLR399C
G83	YKR101W
G84	YDR174W
G85	YJL089W
G86	YLR098C
G87	YHR206W
G88	YOR229W
G89	YNL204C
G90	YDR448W
G91	YBR033W
G92	YOR363C
G93	YNL031C
G94	YGL073W
G95	YNL314W
G96	YDR034C
G97	YDR310C
G98	YPL049C
G99	YOR083W
G100	YER148W
G101	YGL162W
G102	YKL020C
G103	YJR017C
G104	YDL056W
G105	YMR033W
G106	YDR460W
G107	YGR249W
G108	YGL151W
G109	YIL131C
G110	YBL103C
G111	YOR028C
G112	YER111C
G113	YIL119C
G114	YOL067C
G115	YBL008W
G116	YOR140W
G117	YOL028C
G118	YDR081C
G119	YDL048C
G120	YKR064W
G121	YMR043W
G122	YML099C
G123	YPL128C
G124	YLR176C
G125	YOR315W
G126	YDR216W
G127	YFL021W
G128	YMR039C
G129	YCR081W
G130	YOR064C
G131	YER184C
G132	YJL103C
G133	YBR202W
G134	YIR013C
G135	YDR421W
G136	YER040W
G137	YKR034W
G138	YKL112W
G139	YPL089C
G140	YLR442C
G141	YBL005W
G142	YNL027W
G143	YOR372C
G144	YGL013C
G145	YKL072W
G146	YOR210W
G147	YDR253C
G148	YDR151C
G149	YIL038C
G150	YPL254W
G151	YER130C
G152	YLR182W
G153	YDR311W
G154	YNL309W
G155	YDR266C
G156	YJR140C
G157	YFL031W
G158	YKL109W
G159	YOR380W
G160	YDR207C
G161	YHL025W
G162	YOR337W
G163	YPL122C
G164	YML091C
G165	YBR289W
G166	YGR040W
G167	YJL206C
G168	YIL101C
G169	YPL129W
G170	YDR213W
G171	YMR037C
G172	YBR083W
G173	YDR096W
G174	YAL051W
G175	YBR010W
G176	YMR021C
G177	YPL042C
G178	YMR280C
G179	YGR116W
G180	YAL021C
G181	YIR033W
G182	YNL257C
G183	YGR067C
G184	YLR005W
G185	YBR239C
G186	YOR172W
G187	YLR266C
G188	YER068W
G189	YGL254W
G190	YKL222C
G191	YBL054W
G192	YER164W
G193	YGR288W
G194	YHR124W
G195	YPL138C
G196	YJL056C
G197	YGR097W
G198	YOR230W
G199	YPL038W
G200	YDR443C
G201	YLR228C
G202	YOR162C
G203	YJL110C
G204	YPR008W
G205	YMR042W
G206	YJR119C
G207	YLR015W
G208	YGR089W
G209	YMR182C
G210	YBR297W
G211	YPL202C
G212	YDL106C
G213	YIL130W
G214	YHR178W
G215	YDR223W
G216	YLR113W
G217	YPR199C
G218	YPR025C
G219	YLR256W
G220	YDR520C
G221	YFR034C
G222	YDR146C
G223	YNL216W
G224	YEL009C
G225	YGL127C
G226	YGL025C
G227	YKL185W
G228	YCL055W
G229	YML081W
G230	YNR063W
G231	YBR240C
G232	YPR015C
G233	YMR070W
G234	YJR122W
G235	YKL038W
G236	YAL013W
G237	YMR172W
G238	YER159C
G239	YGL192W
G240	YMR179W
G241	YER028C
G242	YPR052C
G243	YCR097W
G244	YGL166W
G245	YKL015W
G246	YNL025C
G247	YDR423C
G248	YCR065W
G249	YGL197W
G250	YHL020C
G251	YER064C
G252	YNL132W
G253	YDR397C
G254	YKL032C
G255	YDL170W
G256	YMR019W
G257	YGL035C
G258	YNL199C
G259	YNL330C
G260	YJR127C
G261	YPL177C
G262	YOR304W
G263	YMR273C
G264	YIL084C
G265	YDL166C
G266	YPR022C
G267	YKL005C
G268	YHR041C
G269	YOL089C
G270	YIL056W
G271	YOL116W
G272	YDR049W
G273	YDR259C
G274	YOL108C
G275	YML076C
G276	YER161C
G277	YCR028C-A
G278	YDR169C
G279	YMR053C
G280	YHR006W
G281	YCR018C
G282	YOL004W
G283	YDR026C
